City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
252,Kankan,GN,2020-04-24 03:10:28,10.39,-9.31,75.22,74,99,3.69
253,Comodoro Rivadavia,AR,2020-04-24 03:10:28,-45.87,-67.5,57.2,62,31,12.75
254,Saint-Leu,RE,2020-04-24 03:10:28,-21.15,55.28,75.2,88,20,10.29
255,Dalvik,IS,2020-04-24 03:10:29,65.97,-18.53,33.8,86,13,9.17
256,Ust-Nera,RU,2020-04-24 03:10:29,64.57,143.2,27.64,80,100,2.62
257,Desaguadero,PE,2020-04-24 03:10:29,-16.57,-69.04,44.11,25,5,0.31
258,Banjar,ID,2020-04-24 03:10:29,-8.19,114.97,86.0,84,20,13.87
259,Dagana,MR,2020-04-24 03:10:29,16.52,-15.51,65.08,76,28,11.61
260,Avera,US,2020-04-24 03:10:30,33.19,-82.53,62.6,91,90,3.36
261,Tokur,RU,2020-04-24 03:10:30,53.13,132.9,29.16,71,100,7.58
262,Samfya,ZM,2020-04-24 03:10:30,-11.36,29.56,55.85,63,0,3.71
263,Ucluelet,CA,2020-04-24 03:07:19,48.93,-125.55,48.99,85,93,1.01
264,Camacupa,AO,2020-04-24 03:10:30,-12.02,17.48,54.12,55,66,3.13
265,Norman Wells,CA,2020-04-24 03:10:31,65.28,-126.83,17.6,61,90,17.22
266,Nemuro,JP,2020-04-24 03:10:31,43.32,145.57,44.6,42,75,6.93
267,Gazanjyk,TM,2020-04-24 03:10:31,39.24,55.52,55.74,65,98,4.74
268,Turukhansk,RU,2020-04-24 03:10:31,65.82,87.98,44.08,74,55,13.71
269,Yakeshi,CN,2020-04-24 03:10:31,49.28,120.73,39.4,58,100,12.64
270,Morondava,MG,2020-04-24 03:10:31,-20.28,44.28,74.46,82,6,4.68
271,Tingo Maria,PE,2020-04-24 03:10:32,-9.29,-76.01,72.01,63,73,1.14
272,Gweta,BW,2020-04-24 03:10:32,-20.18,25.23,63.3,41,0,11.16
273,Mar Del Plata,AR,2020-04-24 03:10:32,-38.0,-57.56,63.0,93,75,9.17
274,Valleyview,CA,2020-04-24 03:10:32,55.07,-117.29,44.06,56,97,4.65
275,Sekovici,BA,2020-04-24 03:10:32,44.3,18.85,40.46,69,0,1.81
276,Hambantota,LK,2020-04-24 03:10:33,6.12,81.12,83.55,75,63,5.53
277,Drayton Valley,CA,2020-04-24 03:06:20,53.22,-114.99,42.94,44,45,8.84
278,Banes,CU,2020-04-24 03:10:33,20.96,-75.72,78.8,78,0,8.05
279,Elko,US,2020-04-24 03:10:33,41.0,-115.5,60.8,23,1,17.22
280,Plettenberg Bay,ZA,2020-04-24 03:10:20,-34.05,23.37,60.85,80,100,3.13
281,Mendoza,AR,2020-04-24 03:10:34,-32.89,-68.83,64.4,68,12,3.36
282,Pointe-Noire,CG,2020-04-24 03:10:34,-4.78,11.86,79.2,89,72,4.43
283,Pacific Grove,US,2020-04-24 03:10:34,36.62,-121.92,66.2,48,1,9.17
284,Honningsvag,NO,2020-04-24 03:10:34,70.98,25.97,29.77,95,100,28.61
