City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
198,Suntar,RU,2020-05-01 23:12:24,62.14,117.63,28.33,88,100,9.75,overcast clouds,0,0
199,Oktyabrskoye,RU,2020-05-01 23:12:24,43.06,44.74,53.56,62,100,2.01,overcast clouds,0,0
200,Whithorn,JM,2020-05-01 23:12:24,18.26,-78.04,84.2,74,75,10.29,broken clouds,0,0
201,Gat,IL,2020-05-01 23:12:19,31.61,34.76,62.01,66,0,3.0,clear sky,0,0
202,Husavik,IS,2020-05-01 23:12:25,66.04,-17.34,33.8,86,90,10.29,light snow,0,0
203,Thunder Bay,CA,2020-05-01 23:12:25,48.4,-89.32,71.6,18,40,18.34,scattered clouds,0,0
204,Dingle,PH,2020-05-01 23:12:25,11.0,122.67,78.67,76,54,7.25,broken clouds,0,0
205,Bonthe,SL,2020-05-01 23:12:25,7.53,-12.51,81.82,84,89,6.76,overcast clouds,0,0
206,Pyapon,MM,2020-05-01 23:12:25,16.28,95.68,80.08,81,10,4.05,clear sky,0,0
207,Saint-Augustin,CA,2020-05-01 23:12:26,51.23,-58.65,34.77,87,99,15.17,overcast clouds,0,0
208,Tasiilaq,GL,2020-05-01 23:12:26,65.61,-37.64,30.2,74,0,4.7,clear sky,0,0
209,Warrnambool,AU,2020-05-01 23:12:26,-38.38,142.48,50.0,93,100,22.59,light rain,0,0
210,Port-Gentil,GA,2020-05-01 23:12:26,-0.72,8.78,81.82,85,100,13.29,overcast clouds,0,0
211,Constitucion,CL,2020-05-01 23:12:26,-35.33,-72.42,56.12,84,41,10.33,scattered clouds,0,0
212,Lodja,CD,2020-05-01 23:12:27,-3.48,23.43,70.99,84,82,0.72,broken clouds,0,0
213,Zaysan,KZ,2020-05-01 23:12:27,47.47,84.87,51.15,34,0,6.06,clear sky,0,0
214,Camacha,PT,2020-05-01 23:12:27,33.08,-16.33,66.2,82,40,3.36,scattered clouds,0,0
215,Aldan,RU,2020-05-01 23:12:28,58.6,125.39,19.04,91,100,14.16,snow,0,0
216,Lagoa,PT,2020-05-01 23:12:28,39.05,-27.98,62.38,78,58,32.41,broken clouds,0,0
217,Cabo San Lucas,MX,2020-05-01 23:08:04,22.89,-109.91,96.8,18,5,11.41,clear sky,0,0
218,Saraland,US,2020-05-01 23:09:10,30.82,-88.07,77.0,42,45,5.21,scattered clouds,0,0
219,Bredasdorp,ZA,2020-05-01 23:12:28,-34.53,20.04,51.8,93,43,3.36,scattered clouds,0,0
220,Hualmay,PE,2020-05-01 23:12:29,-11.1,-77.61,70.65,76,57,6.55,broken clouds,0,0
221,Nikolskoye,RU,2020-05-01 23:12:29,59.7,30.79,37.4,55,50,8.95,scattered clouds,0,0
222,Necochea,AR,2020-05-01 23:12:29,-38.55,-58.74,55.0,86,19,5.01,few clouds,0,0
223,Neuquen,AR,2020-05-01 23:12:29,-38.95,-68.06,62.6,33,87,5.82,overcast clouds,0,0
224,Vila Do Maio,CV,2020-05-01 23:12:30,15.13,-23.22,80.6,39,3,10.29,clear sky,0,0
225,Lebu,CL,2020-05-01 23:12:30,-37.62,-73.65,54.93,90,100,2.68,overcast clouds,0,0
226,Praia Da Vitoria,PT,2020-05-01 23:12:30,38.73,-27.07,62.6,82,75,29.1,broken clouds,0,0
227,Flin Flon,CA,2020-05-01 23:12:30,54.77,-101.86,35.6,93,90,9.17,light rain,0,0
228,Coquimbo,CL,2020-05-01 23:12:30,-29.95,-71.34,59.0,82,20,10.29,few clouds,0,0
229,Longyearbyen,SJ,2020-05-01 23:12:31,78.22,15.64,24.8,85,75,5.82,broken clouds,0,0
230,Nyurba,RU,2020-05-01 23:12:31,63.28,118.33,26.8,93,100,10.0,overcast clouds,0,0
231,Kaduna,NG,2020-05-01 23:12:31,10.52,7.44,76.78,53,100,5.03,overcast clouds,0,0
232,Georgetown,MY,2020-05-01 23:10:10,5.41,100.34,80.6,94,20,3.36,few clouds,0,0
233,Griffith,US,2020-05-01 23:12:31,41.53,-87.42,64.0,51,90,3.09,overcast clouds,0,0
234,Nouadhibou,MR,2020-05-01 23:12:31,20.93,-17.03,66.2,77,0,11.41,clear sky,0,0
235,Codrington,AU,2020-05-01 23:12:32,-38.27,141.97,50.94,75,100,22.06,light rain,0,0
236,Senador Jose Porfirio,BR,2020-05-01 23:11:04,-2.59,-51.95,77.7,92,67,3.53,moderate rain,0,0
237,Nome,US,2020-05-01 23:08:26,64.5,-165.41,39.2,55,1,16.11,clear sky,0,0
238,Kalanguy,RU,2020-05-01 23:12:32,51.02,116.52,38.89,43,100,10.27,overcast clouds,0,0
239,Iqaluit,CA,2020-05-01 23:12:32,63.75,-68.51,32.0,94,90,9.17,overcast clouds,0,0
240,Keti Bandar,PK,2020-05-01 23:12:33,24.14,67.45,80.38,83,0,13.71,clear sky,0,0
241,Kavieng,PG,2020-05-01 23:12:33,-2.57,150.8,82.71,78,100,10.16,moderate rain,0,0
242,Medgyesegyhaza,HU,2020-05-01 23:12:33,46.5,21.03,48.2,100,29,2.24,scattered clouds,0,0
